a10325_20	1.106	0.8426835	1.5669883	1.0082154	1.2810878	0.8421651	0.652	0.8987608	0.9331375	1.108327	0.745	1.3281046	0.8030706	0.628	1.3056458	0.772128	0.8297023	1.015	1.9130885	0.712	1.0051055	0.7753969	0	0.7309258	0.8893518	0.84	0.8104517	1.1151987	1.529	1.0659851	1.417247	1.1202681	1.1878675	1.5438483	1.1027726	1.4676908	1.3645162	1.5373243	1.7116681	2.0346402	1.2965445	1.226167	0.9771063	0.973038	1.6352293	1.1467446	   
a10325_26	0.827	0.9333445	1.4839857	0.8349086	0.78424	1.3685184	1.351	0.6228566	1.1986327	1.448995	1.172	1.5371939	2.5743822	1.921	1.4605386	1.7264829	2.0090413	2.012	1.151472	2.305	1.8959522	1.7668573	1.6130621	1.4282642	0	1.193	1.248129	0.6813111	0.784	0.5198275	0.3733053	0.3076214	0.4260933	0	0.5941028	0.3479242	0	0.3980785	0.6061921	0.4197016	0.9311327	0.5979375	1.1034068	1.6469443	1.8316079	0.5500737	   
a10325_29	2.676	2.8360658	2.1555522	2.43515	1.6585946	1.4674473	1.574	1.5346429	1.461525	1.2763488	0.754	0.929286	0.8685693	0.408	0.4764639	0.3831437	0.3912863	0.435	0.2311169	0.214	0.2108678	0.1571371	0.1118678	0.1151568	0.1196731	0.118	0.0690631	0.0493054	0.061	0.0917785	0.1378791	0.1875339	0.2260315	0.4955829	0.6215984	0.7800827	1.7949341	2.2235017	2.9570345	4.1970157	6.5179284	5.4696794	6.0773488	6.0869316	7.0532639	5.6064335	   
a10325_30	2.896	3.0685302	2.8271185	2.2732284	1.8181217	1.9735075	1.693	1.7193684	1.3613136	1.3703793	0.734	1.0144706	0.7703213	0.346	0.4301644	0.3329145	0.2827783	0.364	0.1908154	0.146	0.1263349	0.1197235	0.0640534	0.1207547	0.0491807	0.07	0.0399401	0.0277903	0.033	0.0646963	0.1031748	0.1233776	0.2212223	0.4998922	0.6775717	0.8991094	1.7465285	2.1159129	3.3187027	4.6466959	5.3561373	4.6030651	4.6949328	5.0164752	5.0290537	3.7755062	   
a10325_30j	2.392	1.9317791	1.9459497	1.6736121	1.5307293	1.1440256	1.237	1.4399118	1.0775981	1.0466677	0.53	0.7731143	0.6279329	0.26	0.3384072	0.2686678	0.2422248	0.233	0.1480464	0.087	0.111472	0.0738919	0.0550318	0.0455829	0.0360659	0.037	0.0274588	0.0197222	0.021	0.0436324	0.0750362	0.1159749	0.2010237	0.4783452	0.4654623	0.7855762	1.4312375	1.8899764	2.5180287	2.8584024	4.5633998	4.8928146	4.0772086	5.5253434	5.351316	4.7779133	   
a10325_32	2.392	3.1684899	2.1924422	1.8810743	2.1712732	1.679257	1.378	1.8401505	0.7886769	1.5661478	0.646	1.1732236	0.9525784	0.302	0.2500173	0.3305782	0.2630496	0.304	0.1768332	0.103	0.0743146	0.1066288	0.0694663	0.0687742	0.0418036	0.048	0.0441006	0.0251009	0.028	0.0413756	0.0862917	0.1143299	0.2433445	0.6895065	0.7561307	0.8890379	1.7295211	2.3609763	3.8123	5.1941326	4.9980093	5.7581123	4.7385635	5.1287929	6.0348648	5.1495542	   
a10935_1	1.559	1.4993953	1.1276615	1.2953734	1.4856721	1.2353446	1.228	1.4813567	1.3652179	1.640139	1.06	1.2790589	1.5876307	0.882	0.9217809	0.8328703	0.794629	0.75	0.5905406	0.59	0.6112379	0.6668974	0.6549682	0.6885417	0.7541047	0.782	0.8828432	0.80323	0.785	0.9584086	1.0101754	0.8932534	1.056096	1.3369964	1.309972	1.0144738	1.2755545	1.4046314	1.2419545	1.2734423	1.544199	1.8175193	1.6878335	1.6011003	1.9549738	1.385413	   
a11025_2	0.883	0.7241266	0.7671452	0.4402245	0.4042976	0.4413757	0.366	0.4345787	0.3578979	0.4701526	0.426	0.4878751	0.7176376	0.652	0.6683964	0.724235	0.875736	1.127	1.0198752	1.176	1.2967905	1.4507123	1.663583	1.5082342	1.6180463	1.52	1.4877698	1.3671045	1.56	1.087049	1.1733793	0.8858508	1.0570577	0.8511097	0.9220867	0.8725573	0.867377	0.8762509	0.7893008	0.9554076	0.9966882	1.0154402	1.2400409	1.3122833	1.7233478	1.3888226	   
a11962_1	1.342	1.2680933	1.1058628	1.4598251	1.4016464	1.1719286	1.238	1.3404442	1.3756295	1.3919601	1.282	1.3926383	1.4765676	1.179	1.1726399	0.8340384	1.125633	1.026	0.6119251	0.948	0.7784459	0.7753969	0.727141	0.7997	0	0.984	0.7538699	0.884808	1	0.89296	1.1105364	0.9631674	0.9070114	1.0568843	1.0242135	0.966863	1.3959145	2.1469941	1.2487785	1.2069678	1.4300837	1.317043	1.7303163	1.5839088	2.0040685	1.2547136	   
a11962_3	2.546	2.5419983	3.8181191	3.3042139	3.1211291	3.674326	2.9	3.4991277	3.0388788	4.0217317	2.521	2.7968928	2.6669348	1.993	1.683618	1.8070833	1.8007937	1.264	0	0.734	0.928933	1.207524	0.4240152	0.6821441	0.5442668	0.575	0.5117329	0.2375624	0.501	0.6371837	0.3339113	0.4622545	0.3366426	0.3641457	0.6098145	0.7086667	0.7901896	0.563048	0.6016428	0.8289757	1.2297749	1.256459	1.6568324	0	1.4098974	1.0365026	   
